Type,Trans Date,Post Date,Description,Amount,Category,Memo
Sale,1/13/17,1/15/17,WILLIAMS-SONOMA 0309,-5.2,null,null
Sale,1/13/17,1/15/17,COLDSTONE #20214,-4.23,null,null
Sale,1/13/17,1/15/17,ROUGE SALON,-47.0,null,null
Sale,1/12/17,1/15/17,GAP ONLINE,-68.57,null,null
Sale,1/12/17,1/13/17,SPEEDWAY 03574 275,-27.34,null,null
Sale,1/11/17,1/12/17,SPEEDWAY 03574 275,-37.0,null,null
Sale,1/10/17,1/10/17,COMCAST,-45.99,null,null
Sale,1/10/17,1/11/17,DAVIDS BRIDAL ON LINE,-162.08,null,null
Sale,1/8/17,1/9/17,BIGGBY COFFEE #179,-4.55,null,null
Sale,1/8/17,1/9/17,FAMILY FARE 0339,-28.73,null,null
Sale,1/8/17,1/9/17,SPEEDWAY 03574 275,-1.58,null,null
Sale,1/8/17,1/9/17,G.B. RUSSO &amp; SON,-36.27,null,null
Sale,1/7/17,1/8/17,SPEEDWAY 06748 288,-25.72,null,null
Sale,1/7/17,1/8/17,SPEEDWAY 06748 288,-1.59,null,null
Sale,1/5/17,1/6/17,IPHONE CITIZ*PMT 3 OF 24,-41.58,null,null
Sale,1/5/17,1/6/17,SPEEDWAY 03574 275,-20.99,null,null
Sale,1/5/17,1/6/17,FAMILY FARE 0339,-13.9,null,null
Payment,1/4/17,1/4/17,Payment Thank You-Mobile,1349.77,null,null
Sale,1/4/17,1/5/17,SPEEDWAY 03574 275,-35.11,null,null
Payment,1/3/17,1/3/17,Payment Thank You-Mobile,17.29,null,null
Sale,1/3/17,1/5/17,GAP ONLINE,-30.97,null,null
Sale,1/2/17,1/3/17,SPEEDWAY 03574 275,-1.58,null,null
Sale,1/2/17,1/3/17,MEIJER #216        Q01,-35.17,null,null
Sale,1/2/17,1/3/17,WALGREENS #12777,-4.18,null,null
Sale,1/2/17,1/3/17,WALGREENS #12777,-14.83,null,null
Sale,1/2/17,1/3/17,PAYLESS SHOES 00050005,-28.62,null,null
Sale,1/1/17,1/2/17,SPEEDWAY 03574 275,-1.58,null,null
Sale,1/1/17,1/2/17,SQ *COSMIC CANDY COMPANY,-15.77,null,null
Return,1/1/17,1/3/17,A EAGLE OUTFTR00007138,33.35,null,null
Sale,1/1/17,1/2/17,BIGGBY COFFEE #410,-4.55,null,null
Sale,1/1/17,1/3/17,A EAGLE OUTFTR00007138,-33.35,null,null
Sale,12/31/16,1/1/17,SPEEDWAY 03574 275,-1.58,null,null
Sale,12/31/16,1/2/17,GAP ONLINE,-67.27,null,null
Sale,12/31/16,1/1/17,FAMILY FARE 0339,-50.99,null,null
Sale,12/31/16,1/1/17,G.B. RUSSO &amp; SON,-78.16,null,null
Sale,12/30/16,1/1/17,SPEEDWAY 03574 275,-3.28,null,null
Sale,12/30/16,1/1/17,STANDALE AUTO WASH LLC,-8.0,null,null
